Source,Target,Mean_CLR,Mean_DII,Observed_Diff,Empirical_p_value,FDR_adjusted_p_value,Significant
vasculature,lymphatics,0.0,0.0002962962962962963,-0.0002962962962962963,0.997002997002997,1.0,No
stroma,stroma,0.009786445511559135,0.009928326815041778,-0.00014188130348264348,0.951048951048951,1.0,No
stroma,tumor cells,0.008018508735328327,0.005266329468952084,0.0027521792663762427,0.25074925074925075,1.0,No
stroma,CD4+ T cells CD45RO+,0.002313259458992488,0.003335469902460455,-0.0010222104434679672,0.4915084915084915,1.0,No
stroma,vasculature,0.004486476787263975,0.003134378443012414,0.0013520983442515612,0.5114885114885115,1.0,No
stroma,granulocytes,0.0030335417341823025,0.005043161174676379,-0.002009619440494077,0.46553446553446554,1.0,No
tumor cells,CD3+ T cells,0.0,0.0,0.0,1.0,1.0,No
tumor cells,CD163+ macrophages,0.0,0.0,0.0,1.0,1.0,No
tumor cells,CD4+ T cells GATA3+,0.0,0.0,0.0,1.0,1.0,No
tumor cells,CD11b+ monocytes,0.0,0.0015873015873015873,-0.0015873015873015873,0.8421578421578422,1.0,No
tumor cells,lymphatics,0.0,0.0,0.0,1.0,1.0,No
tumor cells,CD68+ macrophages,0.0006649055578486828,0.0004582085017183713,0.00020669705613031143,0.7442557442557443,1.0,No
tumor cells,CD68+ macrophages GzmB+,0.0007287599381894581,0.0,0.0007287599381894581,0.07692307692307693,1.0,No
tumor cells,nerves,0.00014894017357762292,1.4099798372883268e-05,0.00013484037520473965,0.3966033966033966,1.0,No
tumor cells,NK cells,0.0,0.0,0.0,1.0,1.0,No
tumor cells,immune cells / vasculature,0.0013042568170180855,0.0005339496315537836,0.0007703071854643019,0.3086913086913087,1.0,No
stroma,CD68+ macrophages GzmB+,0.0,0.0,0.0,1.0,1.0,No
stroma,nerves,0.000986302380030603,0.0004034477360427517,0.0005828546439878514,0.8611388611388612,1.0,No
stroma,NK cells,0.0,0.000529100529100529,-0.000529100529100529,0.7712287712287712,1.0,No
stroma,immune cells,0.0018672102513565929,0.00010330578512396694,0.001763904466232626,0.4865134865134865,1.0,No
stroma,tumor cells / immune cells,6.279434850863422e-05,0.0,6.279434850863422e-05,0.985014985014985,1.0,No
stroma,smooth muscle,0.00575803954311379,0.00593630899068743,-0.00017826944757364047,0.936063936063936,1.0,No
stroma,CD11b+CD68+ macrophages,0.00021394950791613182,0.0006236519097044279,-0.00040970240178829606,0.4835164835164835,1.0,No
stroma,CD11c+ DCs,0.00017361111111111112,6.464124111182935e-05,0.00010896986999928177,0.6713286713286714,1.0,No
stroma,CD8+ T cells,0.0028592471541709543,0.003962298585282205,-0.0011030514311112507,0.5984015984015985,1.0,No
stroma,plasma cells,0.0021225330895368816,0.0010700950385210313,0.0010524380510158503,0.22577422577422576,1.0,No
stroma,adipocytes,0.0023811581066791043,0.00028883982938977717,0.002092318277289327,0.16883116883116883,1.0,No
stroma,CD68+CD163+ macrophages,0.008244198571490072,0.007129965406328346,0.0011142331651617255,0.8331668331668332,1.0,No
CD68+CD163+ macrophages,Tregs,0.0004190597943815234,0.0004566366730031049,-3.757687862158152e-05,0.8731268731268731,1.0,No
